Month,Fleet Type,MDBF Value,Fleet Owned,No. of Primary Failures,MDBF Goal,No. of Primary Failures Goal
07/01/2021,M8,99708,405,19,290000,5
07/01/2021,M3,254735,138,0,80000,2
07/01/2021,M7,470852,334,3,340000,5
07/01/2021,Coach,372275,207,3,210000,5
07/01/2021,P-32,29788,31,5,21000,6
07/01/2021,BL-20,6684,12,4,13000,3
07/01/2021,Fleet-wide,142772,1127,34,175000,26
08/01/2021,M8,1944028,405,1,290000,5
08/01/2021,M3,99520,138,3,80000,2
08/01/2021,M7,1393784,334,1,340000,5
08/01/2021,Coach,559294,207,2,210000,5
08/01/2021,P-32,36925,31,4,21000,6
08/01/2021,BL-20,5710,12,5,13000,3
08/01/2021,Fleet-wide,308201,1127,16,175000,26
09/01/2021,M8,1085263,405,2,290000,5
09/01/2021,M3,92838,138,3,80000,2
09/01/2021,M7,242955,334,6,340000,5
09/01/2021,Coach,220557,207,5,210000,5
09/01/2021,P-32,21010,31,7,21000,6
09/01/2021,BL-20,24521,12,0,13000,3
09/01/2021,Fleet-wide,225267,1127,23,175000,26
10/01/2021,M8,380232,405,6,290000,5
10/01/2021,M3,297849,138,1,80000,2
10/01/2021,M7,569348,334,3,340000,5
10/01/2021,Coach,203967,207,7,210000,5
10/01/2021,P-32,33285,31,6,21000,6
10/01/2021,BL-20,15241,12,2,13000,3
10/01/2021,Fleet-wide,237810,1127,25,175000,26
11/01/2021,M8,441543,405,5,290000,5
11/01/2021,M3,76129,138,4,80000,2
11/01/2021,M7,544706,334,3,340000,5
11/01/2021,Coach,458167,207,3,210000,5
11/01/2021,P-32,20920,31,9,21000,6
11/01/2021,BL-20,29979,12,1,13000,3
11/01/2021,Fleet-wide,229565,1127,25,175000,26
12/01/2021,M8,1153557,405,2,290000,5
12/01/2021,M3,154396,138,2,80000,2
12/01/2021,M7,1705043,334,1,340000,5
12/01/2021,Coach,235036,207,6,210000,5
12/01/2021,P-32,95341,31,2,21000,6
12/01/2021,BL-20,36668,12,1,13000,3
12/01/2021,Fleet-wide,425608,1127,14,175000,26
01/01/2022,M8,2250037,415,1,290000,5
01/01/2022,M3,114619,138,2,80000,2
01/01/2022,M7,428796,334,4,340000,5
01/01/2022,Coach,690933,207,2,210000,5
01/01/2022,P-32,25986,31,7,21000,6
01/01/2022,BL-20,18676,12,2,13000,3
01/01/2022,Fleet-wide,321977,1137,18,175000,26
02/01/2022,M8,348854,415,6,290000,5
02/01/2022,M3,49026,138,5,80000,2
02/01/2022,M7,784513,334,2,340000,5
02/01/2022,Coach,314066,207,4,210000,5
02/01/2022,P-32,40517,31,4,21000,6
02/01/2022,BL-20,10382,12,4,13000,3
02/01/2022,Fleet-wide,214686,1137,25,175000,26
03/01/2022,M8,804158,415,3,290000,5
03/01/2022,M3,110851,138,3,80000,2
03/01/2022,M7,580665,334,3,340000,5
03/01/2022,Coach,1459172,207,1,210000,5
03/01/2022,P-32,95036,31,2,21000,6
03/01/2022,BL-20,10987,12,4,13000,3
03/01/2022,Fleet-wide,386264,1137,16,175000,26
04/01/2022,M8,802106,415,3,290000,5
04/01/2022,M3,194100,138,2,80000,2
04/01/2022,M7,288321,334,6,340000,5
04/01/2022,Coach,159012,207,9,210000,5
04/01/2022,P-32,26312,31,7,21000,6
04/01/2022,BL-20,47376,12,0,13000,3
04/01/2022,Fleet-wide,229152,1137,27,175000,26
05/01/2022,M8,611579,415,4,290000,5
05/01/2022,M3,72759,138,5,80000,2
05/01/2022,M7,896270,334,2,340000,5
05/01/2022,Coach,180633,207,8,210000,5
05/01/2022,P-32,23172,31,8,21000,6
05/01/2022,BL-20,25188,12,2,13000,3
05/01/2022,Fleet-wide,216671,1137,29,175000,26
06/01/2022,M8,813485,415,3,290000,5
06/01/2022,M3,34895,138,10,80000,2
06/01/2022,M7,897986,334,2,340000,5
06/01/2022,Coach,182573,207,8,210000,5
06/01/2022,P-32,17282,31,11,21000,6
06/01/2022,BL-20,11145,12,4,13000,3
06/01/2022,Fleet-wide,165280,1137,38,175000,26
07/01/2022,M8,424504,433,6,290000,5
07/01/2022,M3,111650,138,3,80000,2
07/01/2022,M7,191105,334,9,340000,5
07/01/2022,Coach,355381,207,4,210000,5
07/01/2022,P-32,16675,31,11,21000,6
07/01/2022,BL-20,6116,12,8,13000,3
07/01/2022,Fleet-wide,152581,1155,41,175000,26
08/01/2022,M8,298677,433,9,290000,5
08/01/2022,M3,51040,138,7,80000,2
08/01/2022,M7,586756,334,3,340000,5
08/01/2022,Coach,147737,207,10,210000,5
08/01/2022,P-32,47385,31,4,21000,6
08/01/2022,BL-20,11352,12,5,13000,3
08/01/2022,Fleet-wide,171824,1155,38,175000,26
09/01/2022,M8,847219,433,3,290000,5
09/01/2022,M3,165253,138,2,80000,2
09/01/2022,M7,834388,334,2,340000,5
09/01/2022,Coach,664958,207,2,210000,5
09/01/2022,P-32,28799,31,6,21000,6
09/01/2022,BL-20,20720,12,2,13000,3
09/01/2022,Fleet-wide,357946,1155,17,175000,26
10/01/2022,M8,1271876,433,2,290000,5
10/01/2022,M3,127714,138,2,80000,2
10/01/2022,M7,1727021,334,0,340000,5
10/01/2022,Coach,190070,207,7,210000,5
10/01/2022,P-32,35068,31,5,21000,6
10/01/2022,BL-20,17454,12,2,13000,3
10/01/2022,Fleet-wide,337052,1155,18,175000,26
11/01/2022,M8,788534,443,3,290000,5
11/01/2022,M3,48479,138,4,80000,2
11/01/2022,M7,541695,334,3,340000,5
11/01/2022,Coach,672664,207,2,210000,5
11/01/2022,P-32,35270,31,5,21000,6
11/01/2022,BL-20,12495,12,3,13000,3
11/01/2022,Fleet-wide,287188,1165,20,175000,26
12/01/2022,M8,361697.8,443,7,290000,5
12/01/2022,M3,33110,138,5,80000,2
12/01/2022,M7,849560.2,334,2,340000,5
12/01/2022,Coach,210626,207,7,210000,5
12/01/2022,P-32,62475.95,31,3,21000,6
12/01/2022,BL-20,55073.41,12,1,13000,3
12/01/2022,Fleet-wide,244538,1165,25,175000,26
01/01/2023,M8,1228938,443,2,290000,5
01/01/2023,M3,94000,98,2,80000,2
01/01/2023,M7,1656401,334,1,340000,5
01/01/2023,Coach,1453064,207,1,210000,5
01/01/2023,P-32,61064,31,3,21000,6
01/01/2023,BL-20,56915,12,1,13000,3
01/01/2023,Fleet-wide,599545,1125,10,175000,26
02/01/2023,M8,2228957,443,1,290000,5
02/01/2023,M3,188737,98,1,80000,2
02/01/2023,M7,750406,334,2,340000,5
02/01/2023,Coach,656893,207,2,210000,5
02/01/2023,P-32,27498,31,6,21000,6
02/01/2023,BL-20,17686,12,3,13000,3
02/01/2023,Fleet-wide,363356,1125,15,175000,26
03/01/2023,M8,639828,451,4,290000,5
03/01/2023,M3,198601,90,0,80000,2
03/01/2023,M7,578862,334,3,340000,5
03/01/2023,Coach,498308,207,3,210000,5
03/01/2023,P-32,31823,31,5,21000,6
03/01/2023,BL-20,57526,12,1,13000,3
03/01/2023,Fleet-wide,389720,1125,16,175000,26
04/01/2023,M8,611218,451,4,290000,5
04/01/2023,M3,175593,90,0,80000,2
04/01/2023,M7,814041,334,2,340000,5
04/01/2023,Coach,342353,207,4,210000,5
04/01/2023,P-32,172663,31,1,21000,6
04/01/2023,BL-20,51015,12,0,13000,3
04/01/2023,Fleet-wide,531058,1125,11,175000,26
05/01/2023,M8,858041,451,3,290000,5
05/01/2023,M3,65237,90,3,80000,2
05/01/2023,M7,344682,334,5,340000,5
05/01/2023,Coach,727090,207,2,210000,5
05/01/2023,P-32,30298,31,6,21000,6
05/01/2023,BL-20,57040,12,1,13000,3
05/01/2023,Fleet-wide,309313,1125,20,175000,26
06/01/2023,M8,831728,451,3,290000,5
06/01/2023,M3,198968,90,1,80000,2
06/01/2023,M7,860530,334,2,340000,5
06/01/2023,Coach,1440963,207,1,210000,5
06/01/2023,P-32,36719,31,5,21000,6
06/01/2023,BL-20,16108,12,3,13000,3
06/01/2023,Fleet-wide,405873,1125,15,175000,26
07/01/2023,M8,624379,451,4,290000,5
07/01/2023,M3,99637,90,2,80000,2
07/01/2023,M7,429054,334,4,340000,5
07/01/2023,Coach,458969,207,3,210000,5
07/01/2023,P-32,13649,31,13,21000,6
07/01/2023,BL-20,41517,12,1,13000,3
07/01/2023,Fleet-wide,222550,1125,27,175000,26
08/01/2023,M8,375641,451,7,290000,5
08/01/2023,M3,228661,90,1,80000,2
08/01/2023,M7,595792,334,3,340000,5
08/01/2023,Coach,300421,207,5,210000,5
08/01/2023,P-32,38514,31,5,21000,6
08/01/2023,BL-20,24059,12,2,13000,3
08/01/2023,Fleet-wide,277753,1125,23,175000,26
